State,specifier,agency,race,religion,sexualOrientation,disability,gender
,,Santee,4,0,0,1,0,1,0,2,2,"53,957"
,,Saratoga,0,1,0,0,0,0,1,0,0,"30,486"
,,Scotts Valley,0,1,0,0,0,1,0,0,0,"11,098"
,,Soledad,0,0,0,1,0,0,0,0,1,"28,748"
,,Sonora,1,0,0,0,0,0,1,0,0,"4,573"
,,South El Monte,1,0,0,0,0,0,0,0,1,"21,422"
,,South Gate,2,0,0,0,0,0,1,0,1,"96,651"
,,Stockton,2,1,0,0,0,1,2,0,0,"292,212"
,,Sunnyvale,1,1,0,0,0,0,0,1,1,"132,144"
,,Tehachapi,0,0,0,1,0,0,0,1,0,"11,807"
,,Temecula,1,0,0,0,0,1,0,0,0,"100,922"
,,Temple City,0,0,0,1,0,0,0,1,0,"38,909"
,,Thousand Oaks,2,6,2,1,0,3,5,3,0,"123,735"
,,Torrance,4,3,0,1,0,3,2,2,1,"141,109"
,,Tracy,1,0,0,0,0,0,0,1,0,"82,019"
,,Tulare,1,0,0,0,0,0,1,0,0,"58,006"
,,Turlock,2,0,1,2,0,1,1,2,1,"69,859"
,,Tustin,0,1,0,0,0,0,0,1,0,"72,286"
,,Twin Cities,0,0,1,0,0,0,0,1,0,"20,918"
,,Union City,2,0,1,0,0,2,0,0,1,"72,666"
,,Upland,0,0,0,1,0,0,0,1,0,"72,461"
,,Vacaville,3,0,0,2,0,1,2,2,0,"92,538"
,,Vallejo,2,0,1,1,0,3,0,1,0,"114,443"
,,Ventura,0,0,1,0,0,0,1,0,0,"103,997"
,,Visalia,2,1,3,0,0,2,2,1,1,"124,263"
,,Vista,2,0,1,0,0,0,0,2,1,"91,252"
,,Walnut Creek,5,0,0,0,0,0,1,3,1,"63,356"
,,Watsonville,0,0,2,0,0,0,0,2,0,"50,898"
,,West Covina,2,1,1,0,0,0,2,1,1,"105,846"
,,West Hollywood,0,3,6,0,0,3,2,2,2,"36,020"
,,Westminster,2,4,0,0,0,1,1,2,2,"89,057"
,,West Sacramento,0,1,0,1,0,1,0,0,1,"49,646"
,,Whittier,1,3,1,0,0,0,0,4,1,"82,096"
,,Wildomar,0,1,0,0,0,1,0,0,0,"31,496"
,,Woodlake,1,0,0,0,0,1,0,0,0,"7,506"
,,Yuba City,1,0,0,0,0,0,1,0,0,"62,495"
,,Yucaipa,0,1,0,0,0,1,0,0,0,"50,782"
,Universities and Colleges,,10,8,8,2,0,,,,,
,,California State University:,,,,,,,,,,
,,Dominguez Hills,1,0,0,0,0,0,0,0,1,"12,851"
,,Fullerton,0,0,1,0,0,1,0,0,0,"36,996"
,,Monterey Bay,1,0,1,0,0,2,0,0,0,"4,340"
,,Northridge,1,0,0,0,0,0,0,1,0,"36,208"
,,San Jose4,2,1,1,0,0,1,1,2,0,
,,Contra Costa Community College,1,0,0,0,0,1,0,0,0,"7,580"
,,San Diego State University,0,0,0,1,0,0,0,0,1,"34,889"
,,University of California:,,,,,,,,,,
,,Berkeley,1,1,1,0,0,2,0,0,1,"35,396"
,,Davis,1,1,0,0,0,1,1,0,0,"30,568"
,,Los Angeles,0,0,1,0,0,0,1,0,0,"38,220"
,,Riverside,1,1,0,1,0,2,0,0,1,"18,079"
,,San Diego,0,2,2,0,0,1,1,2,0,"27,520"
,,Santa Cruz,1,2,1,0,0,0,3,0,1,"16,615"
,Metropolitan Counties,,60,14,23,17,0,,,,,
,,Contra Costa,0,0,1,0,0,0,,1,0,
,,El Dorado,1,0,1,0,0,0,0,1,1,
,,Kern,7,0,1,7,0,4,6,4,1,
,,Los Angeles,14,5,10,4,0,13,7,4,9,
