State,specifier,agency,race,religion,sexualOrientation,disability,gender
,,"Colorado State University, Fort Collins",3,0,0,0,0,0,0,0,0,3,"31,856"
,,"University of Colorado, Boulder",0,1,0,0,0,0,1,0,0,0,"33,977"
,Metropolitan Counties,,9,8,3,0,0,0,,,,,
,,Adams,1,0,0,0,0,0,0,0,0,1,
,,Arapahoe,3,3,0,0,0,0,2,2,1,1,
,,Boulder,0,3,0,0,0,0,3,0,0,0,
,,Douglas,1,0,0,0,0,0,1,0,0,0,
,,El Paso,2,0,1,0,0,0,1,0,1,1,
,,Jefferson,1,1,1,0,0,0,1,0,1,1,
,,Larimer,0,1,0,0,0,0,0,1,0,0,
,,Mesa,1,0,1,0,0,0,0,0,0,2,
,Nonmetropolitan Counties,,0,1,2,0,0,0,,,,,
,,Garfield,0,0,1,0,0,0,0,0,0,1,
,,Huerfano,0,1,0,0,0,0,0,1,0,0,
,,Routt,0,0,1,0,0,0,0,0,1,0,
Connecticut,Total,,66,23,22,0,0,1,,,,,
,Cities,,60,23,19,0,0,1,,,,,
,,Avon,1,0,0,0,0,0,1,0,0,0,"18,397"
,,Berlin,1,2,0,0,0,0,1,1,0,1,"20,601"
,,Bethel,3,0,0,0,0,0,0,0,0,3,"19,796"
,,Bloomfield,0,0,2,0,0,0,0,2,0,0,"20,667"
,,Bridgeport2,5,0,2,0,0,0,1,1,1,3,"146,110"
,,Brookfield,1,0,0,0,0,0,1,0,0,0,"17,203"
,,Cheshire,0,0,2,0,0,0,1,0,0,1,"29,282"
,,Clinton,1,0,0,0,0,0,0,0,1,0,"12,915"
,,Danbury,4,0,1,0,0,0,2,2,1,0,"85,614"
,,Darien,1,0,0,0,0,0,0,1,0,0,"21,910"
,,East Haven,1,0,0,0,0,0,0,1,0,0,"28,739"
,,East Windsor,1,0,0,0,0,0,0,1,0,0,"11,383"
,,Enfield,1,0,0,0,0,0,1,0,0,0,"44,321"
,,Groton,1,0,0,0,0,0,0,1,0,0,"9,093"
,,Groton Town,1,0,0,0,0,0,1,0,0,0,"29,524"
,,Guilford,0,0,1,0,0,0,0,0,1,0,"22,259"
,,Hartford,2,1,1,0,0,0,1,1,0,2,"122,891"
,,Manchester,2,0,2,0,0,0,1,2,1,0,"57,808"
,,Meriden,0,0,1,0,0,0,0,1,0,0,"59,417"
,,Middletown,5,2,1,0,0,0,2,1,3,2,"46,363"
,,New Britain,0,1,0,0,0,0,0,1,0,0,"72,442"
,,New Haven,4,2,3,0,0,1,0,4,4,2,"129,953"
,,New London,0,0,1,0,0,0,0,1,0,0,"26,880"
,,New Milford,1,0,0,0,0,0,0,0,1,0,"26,993"
,,North Branford,0,1,0,0,0,0,0,0,1,0,"14,163"
,,North Haven,0,0,1,0,0,0,0,0,0,1,"23,646"
,,Norwich,0,1,0,0,0,0,0,0,1,0,"39,393"
,,Old Saybrook,3,0,0,0,0,0,1,0,2,0,"10,070"
,,Orange,2,1,0,0,0,0,0,1,1,1,"13,904"
,,Rocky Hill,2,0,0,0,0,0,0,1,1,0,"20,189"
,,Southington,1,0,0,0,0,0,0,1,0,0,"43,769"
,,Stamford,3,3,0,0,0,0,1,0,3,2,"130,189"
,,Torrington,4,1,0,0,0,0,2,2,0,1,"34,372"
,,Trumbull,4,4,1,0,0,0,4,2,1,2,"36,265"
,,Waterbury,0,1,0,0,0,0,0,0,1,0,"107,924"
,,West Hartford,1,0,0,0,0,0,0,0,0,1,"62,812"
,,Westport,1,0,0,0,0,0,0,0,1,0,"28,079"
,,Willimantic,1,0,0,0,0,0,0,0,1,0,"17,768"
,,Wilton,1,2,0,0,0,0,0,0,2,1,"18,643"
,,Windsor,1,0,0,0,0,0,0,1,0,0,"28,836"
,,Woodbridge,0,1,0,0,0,0,0,1,0,0,"8,816"
,Universities and Colleges,,3,0,0,0,0,0,,,,,
,,Yale University,3,0,0,0,0,0,1,0,2,0,"12,458"
,State Police Agencies,,2,0,3,0,0,0,,,,,
,,Connecticut State Police,2,0,3,0,0,0,0,1,0,4,
,Tribal Agencies,,1,0,0,0,0,0,,,,,
,,Mohegan Tribal,1,0,0,0,0,0,0,1,0,0,
Delaware,Total,,14,8,6,0,0,1,,,,,
,Cities,,2,0,4,0,0,1,,,,,
,,Dewey Beach,0,0,1,0,0,0,0,1,0,0,386
,,New Castle,0,0,1,0,0,0,1,0,0,0,"5,362"
,,Rehoboth Beach,1,0,1,0,0,1,0,0,3,0,"1,516"
,,Wilmington,1,0,1,0,0,0,0,0,0,2,"71,552"
,Universities and Colleges,,4,1,1,0,0,0,,,,,
,,University of Delaware,4,1,1,0,0,0,3,0,1,2,"23,009"
,Metropolitan Counties,,2,4,0,0,0,0,,,,,
,,New Castle County Police Department,2,4,0,0,0,0,4,0,0,2,
,State Police Agencies,,4,2,0,0,0,0,,,,,
,,State Police:,,,,,,,,,,,
,,Kent County,2,1,0,0,0,0,0,2,1,0,
,,New Castle County,2,1,0,0,0,0,1,1,1,0,
,Other Agencies,,2,1,1,0,0,0,,,,,
,,Fish and Wildlife,1,0,0,0,0,0,0,0,1,0,
,,River and Bay Authority,1,0,0,0,0,0,0,0,1,0,
,,State Capitol Police,0,1,1,0,0,0,1,0,1,0,
District of Columbia,Total,,108,14,57,1,0,13,,,,,
,Cities,,87,12,56,1,0,13,,,,,
,,Washington,87,12,56,1,0,13,27,40,45,57,"693,972"
,Other Agencies,,21,2,1,0,0,0,,,,,
,,Metro Transit Police,21,2,1,0,0,0,6,8,3,7,
Florida,Total,,70,43,32,0,0,0,,,,,
,Cities,,42,33,26,0,0,0,,,,,
,,Boca Raton,0,1,0,0,0,0,0,0,0,1,"98,069"
,,Clearwater,1,0,0,0,0,0,1,0,0,0,"115,295"
,,Cooper City,0,1,0,0,0,0,0,0,0,1,"36,694"
,,Coral Gables,1,0,0,0,0,0,0,0,0,1,"51,487"
,,Davie,4,3,0,0,0,0,3,1,1,2,"103,555"
,,Deerfield Beach,2,0,0,0,0,0,0,1,0,1,"80,552"
,,Delray Beach,0,1,0,0,0,0,1,0,0,0,"68,533"
,,Fort Lauderdale,2,2,2,0,0,0,0,2,3,1,"180,972"
,,Fort Myers,1,1,1,0,0,0,1,1,0,1,"79,918"
